taxon,species_aggregated,genus,family,flowering_start,flowering_end,flowering_times,flowers_m2,nectar_ml,sugar_concentration_mol,sugar_concentration_perc,nectar_sugar_content_mg,pollen_mg,corolla_mm,protein,sugar_perc,time_to_dry_proxy_raw,time_to_dry_days,gmm_confidence,gmm_label
Cosmos spec,"Cosmos bipinnatus, Cosmos sulphureus",Cosmos,Asteraceae,213.0,304.0,91.0,,0.001489555662497,1.375,,0.701077992,4.21258677866803,5.0,18.91633889375,1.375,0.0003020074099672,3.386666183970126,1.0,1.0
Erica spec,"Erica carnea, Erica cinerea, Erica spp, Erica tetralix, Erica x darleyensis",Erica,Ericaceae,102.0,263.0,161.0,14798.07,0.0001603378216875,1.375,27.6666666666667,0.075465,,4.08333333333333,28.4,1.375,3.9806318286769e-05,0.4463821336859595,1.0,1.0
,,,,,,,,0.0008005388028411729,,,,,3.2792354329520963,,1.294867659608745,,2.773013743315016,,
Cynoglossum officinale,Cynoglossum officinale,Cynoglossum,Boraginaceae,121.0,212.0,91.0,,0.0016774925900233,2.31624306164183,50.5,1.33,,4.0,30.2597411333333,2.31624306164183,0.0004290868478646,4.811716102617983,1.0,1.0
Lysimachia spec,"Lysimachia nemorum, Lysimachia vulgaris, Lysimachia vvulgaris",Lysimachia,Primulaceae,142.0,253.0,111.0,61.56,1.52550925557061e-05,1.375,,0.00718,,4.0,25.0179055883978,1.375,3.866212509921233e-06,0.05,1.0,1.0
Satureja spec,"Satureja montana, Satureja sp, Satureja thymbra",Satureja,Lamiaceae,,,,,0.43153415099608794,,66.85,,,4.192481928814233,18.7046642833333,1.4217746220100091,0.144821428157653,7.0,1.0,0.0
Stellaria graminea,Stellaria graminea,Stellaria,Caryophyllaceae,121.0,212.0,91.0,1332.0,5.096743349339124e-05,1.375,,0.02460453734,0.0080087872352671,4.375051120748892,25.0179055883978,1.5434600226101631,1.324879805915486e-05,0.13265278798918576,1.0,1.0
Tripleurospermum inodorum,Tripleurospermum inodorum,Tripleurospermum,Asteraceae,152.0,334.0,182.0,,0.003020352741255555,1.375,,1.406812214,,3.5489464913119,18.91633889375,1.153024427434254,0.0007575257633533,7.0,0.9999999999999838,1.0
Melitlotus spec,"Melilotus albus, Melilotus officinalis",Melilotus,Fabaceae,152.0,273.0,121.0,8575.52,7.72830418709659e-05,1.60531697341513,35.0,0.0525425,,4.26683609091714,21.13,1.6338148605346823,1.8490503497616342e-05,0.206429265124939,1.0,1.0
Berberis spec,"Berberis darwinii, Berberis spp",Berberis,Berberidaceae,,,,,0.5197061918860354,,35.85,,,4.060716560746291,25.0179055883978,1.4740295769495197,0.0921590907415289,7.0,1.0,0.0
,,,,,,,,0.002975937285643545,,,,,3.4432878414661485,,1.928003444382625,,7.0,,
Sorbus aucuparia,Sorbus aucuparia,Sorbus,Rosaceae,121.0,158.0,37.0,5935.3,7.444106910350615e-05,1.14665498101081,25.0,0.07027,0.55,4.018550366819619,21.518011945,1.1516618407966743,2.6117741290943347e-05,0.21012174531101332,1.0,1.0
Rhododendron ponticum,Rhododendron ponticum,Rhododendron,Ericaceae,32.0,273.0,241.0,126.47,0.0017412606895520792,1.375,,1.25686,,3.6740975013663317,28.4,0.9621811902095225,0.0006767810383314,5.36570305028448,0.9999999999999838,1.0
Zea mays,"Zea, Zea mays",Zea,Poaceae,197.0,211.0,14.0,42.5,0.0,0.0,,0.0,35.3,3.7246957041104194,17.69,0.0,0.0,0.05,1.0,1.0
Prunus domestica,Prunus domestica,Prunus,Rosaceae,91.0,151.0,60.0,153.0,0.001647635552191107,1.23838737949167,27.0,0.85,0.9,3.4440544351566853,24.25,1.1195483458665092,0.0005075054792252,5.424766629013441,1.0,1.0
Salvia spec,"Salvia fruticosa, Salvia hierosolymitana, Salvia judaica, Salvia pratensis, Salvia sp, Salvia ssp",Salvia,Lamiaceae,121.0,228.0,107.0,,0.002002877057444589,1.63558866491382,35.66,1.25,,4.428637889578395,18.7046642833333,1.3725533723449836,0.0005323687793895,5.141138427879034,1.0,1.0
Aesculus hippocastanum,Aesculus hippocastanum,Aesculus,Sapindaceae,121.0,181.0,60.0,3035.23,0.0005137111278267954,2.8322378030967,61.75,0.44928,,4.488145092127724,33.146,2.1134317166357635,0.0001233838552991,1.310659103510059,1.0,1.0
Rubus idaeus,Rubus idaeus,Rubus,Rosaceae,,,,,0.0077444071447718525,1.19710780017528,26.1,5.0,,4.2096103735362576,25.57,1.3471906229941777,0.0024415438030105,7.0,1.0,1.0
Knautia arvensis,Knautia arvensis,Knautia,Dipsacaceae,182.0,253.0,71.0,58.6473633780105,0.02389217281652994,1.375,,9.861294,8.88,0.0,11.95,0.9972724951306308,2124003.249143497,7.0,1.0,1.0
Sanguisorba minor,Sanguisorba minor,Sanguisorba,Rosaceae,121.0,243.0,122.0,504.0,1.207912619665418e-06,1.375,,0.000605,,4.163922413711274,21.518011945,1.4253465302267851,3.257741738861197e-07,0.05,1.0,1.0
Glechoma hederacea,Glechoma hederacea,Glechoma,Lamiaceae,91.0,181.0,90.0,367.1811574075,0.0014044099686583,0.87236667,37.45,0.438066944483569,0.896667,11.75,19.06965,0.87236667,0.0001205669422918,1.352019761398564,1.0,1.0
Ranunculus sceleratus,Ranunculus sceleratus,Ranunculus,Ranunculaceae,152.0,304.0,152.0,,0.55,,,,,3.0567758466080557,15.03,1.5257222800473456,0.1267187496832031,7.0,1.0,0.0
,,,,,,,,0.0011849262781907393,,,,,7.7139469861001295,,1.2387481180048057,,1.7438785637646916,,
Berberis spec,"Berberis darwinii, Berberis spp",Berberis,Berberidaceae,,,,,0.55,,35.85,,,5.986376180979372,25.0179055883978,1.4388591418937657,0.0921590907415289,7.0,1.0,0.0
Sinapis alba,Sinapis alba,Sinapis,Brassicaceae,152.0,212.0,60.0,,0.0003895729072404383,1.99517966695881,43.5,0.255,0.95334311921792,3.1257065080866,24.91,2.1841096817863437,9.520744838585984e-05,1.4281660528739433,1.0,1.0
Rubus idaeus,Rubus idaeus,Rubus,Rosaceae,,,,,0.0096506465933217,1.19710780017528,26.1,5.0,,4.0,25.57,1.19710780017528,0.0024415438030105,7.0,1.0,1.0
Lupinus spec,"Lupinus angustifolius, Lupinus luteus, Lupinus sp",Lupinus,Fabaceae,152.0,273.0,121.0,,0.55,,,,,3.253476472683478,31.6,1.3477278395904457,0.1267187496832031,7.0,1.0,0.0
Epilobium spec,"Chamaenerion angustifolium, Chamerion angustifolium, Epilobium, Epilobium angustifolium, Epilobium ciliatum, Epilobium hirsutum, Epilobium montanum, Epilobium parviflorum, Epilobium tetragonum",Chamaenerion,Onagraceae,170.0,258.0,88.0,445.145911458375,0.0006387474979126257,2.14080484954718,46.675,0.375473618103333,3.39246624199761,0.0,23.9907407333333,2.2492070342200488,66881.88900202283,7.0,0.9999999483098448,1.0
Impatiens glandulifera,Impatiens glandulifera,Impatiens,Balsaminaceae,182.0,212.0,30.0,58.21,0.009062188518895146,2.20157756354075,48.0,7.66784,,4.067439873235211,25.0179055883978,1.9855544446822528,0.0017331593754394,7.0,0.998871728162834,1.0
Lonicera spec,"Lonicera, Lonicera maackii, Lonicera periclymenum",Lonicera,Caprifoliaceae,152.0,212.0,60.0,57.91,0.0039060554880091004,1.375,31.0,1.72684,,6.573264232796154,24.8,1.8167148176795327,0.0005313434474958,6.784708448644838,1.0,1.0
,,,,,,,,0.00024720858299941096,,,,,0.2096975469233823,,3.0510997357659138,,7.0,,
Polygonum spec,"Polygonum, Polygonum aviculare, Polygonum aviculare agg",Polygonum,Polygonaceae,121.0,334.0,213.0,855.77,5.370224442227396e-06,1.375,0.0,0.00305,0.0051065471737198,1.8482359084558686,25.0179055883978,1.376307431612218,4.939346177174834e-06,0.05,1.0,1.0
Eupatorium cannabinum,Eupatorium cannabinum,Eupatorium,Asteraceae,182.0,273.0,91.0,1595.62982209738,0.002901673859065005,2.0257571331191,44.1666666666667,1.817736,,4.11043469876294,18.91633889375,2.338795986085573,0.0006419824536294,7.0,0.9999946397083332,1.0
Sonchus spec,"Sonchus arvensis, Sonchus asper, Sonchus oleraceus, Sonchus sp",Sonchus,Asteraceae,162.0,304.0,142.0,133.059659055005,0.0008945522978776181,1.375,17.0,0.486163323611111,0.368471904391115,5.730661766503269,16.4,1.3773618289070724,0.0001745228157081,1.7745847140333066,1.0,1.0
Myosotis spec,"Myosotis, Myosotis arvensis, Myosotis sylvatica",Myosotis,Boraginaceae,106.0,242.0,136.0,3166.87,4.8093683132055374e-05,1.375,23.5,0.02259716367,0.0001209861059868,3.1598534726779413,30.2597411333333,1.649098121777629,1.7382697329105755e-05,0.17349198434768492,1.0,1.0
Reseda spec,"Reseda lutea, Reseda luteola",Reseda,Resedaceae,136.0,273.0,137.0,,0.00068341929679708,1.375,,0.3605736801,0.137793366707249,2.2212826972950093,25.0179055883978,1.065108662191565,0.0001941580045613,3.4868995894186647,1.0,1.0
Vaccinium myrtillus,"Vaccinium, Vaccinium myrtillus, Vaccinium sp",Vaccinium,Ericaceae,91.0,181.0,90.0,220.43,0.0018981212285554654,1.31865322816243,28.75,0.979135,,3.5305501996231325,42.9,1.1551326363341594,0.00072600945603,6.098517446253439,0.9999999999999982,1.0
Impatiens glandulifera,Impatiens glandulifera,Impatiens,Balsaminaceae,182.0,212.0,30.0,58.21,0.01086531801222783,2.20157756354075,48.0,7.66784,,6.573723812386009,25.0179055883978,1.6845065570572997,0.0017331593754394,7.0,0.998871728162834,1.0
Sisymbrium officinale,Sisymbrium officinale,Sisymbrium,Brassicaceae,152.0,212.0,60.0,1199.67058823529,2.0163655739229483e-05,1.375,,0.0093073493477,0.0194532597748173,3.934163528983426,22.0,1.1682665539825223,5.011725693911551e-06,0.05814548081243944,1.0,1.0
Borago spec,"Borago, Borago officinalis",Borago,Boraginaceae,152.0,212.0,60.0,406.0,0.0034986992015789,2.46530820917324,53.75,1.95,,4.0,30.2597411333333,2.46530820917324,0.0008962382278118,7.0,0.9912676009008068,1.0
Calystegia spec,"Calystegia, Calystegia sepium",Calystegia,Convolvulaceae,182.0,272.0,90.0,16.6683333335,0.006613850243504643,0.664621677,,2.03265750018465,0.91,0.0,26.4566786,0.7644889329171265,1004330.930471429,7.0,1.0,1.0
Eupatorium cannabinum,Eupatorium cannabinum,Eupatorium,Asteraceae,182.0,273.0,91.0,1595.62982209738,0.0025169426751592,2.0257571331191,44.1666666666667,1.817736,,4.0,18.91633889375,2.0257571331191,0.0006419824536294,7.0,0.9999946397083332,1.0
Lamium spec gens rubra,"Lamium maculatum, Lamium purpureum",Lamium,Lamiaceae,75.0,288.0,213.0,463.9348809525,0.003833965003281976,1.012756841,56.0,0.788124188956937,0.347361984866693,7.519284488088996,22.8,1.2526564792029011,0.0004672993613981,5.789390525345973,1.0,1.0
Zea mays,"Zea, Zea mays",Zea,Poaceae,197.0,211.0,14.0,42.5,0.0,0.0,,0.0,35.3,4.456079851225512,17.69,0.0,0.0,0.05,1.0,1.0
Glechoma hederacea,Glechoma hederacea,Glechoma,Lamiaceae,91.0,181.0,90.0,367.1811574075,0.0011763842367044537,0.87236667,37.45,0.438066944483569,0.896667,10.435001822649944,19.06965,0.8526007764802194,0.0001205669422918,1.274965876899938,1.0,1.0
Trifolium resupinatum,Trifolium resupinatum,Trifolium,Fabaceae,91.0,181.0,90.0,,0.0014200176393392133,1.375,,0.821333333333331,,4.065788652744406,26.3727967,1.3329108544594874,0.000442263120912,3.968754631052053,1.0,1.0
Digitalis spec,"Digitalis, Digitalis purpurea",Digitalis,Plantaginaceae,152.0,258.0,106.0,97.5128125,0.0019217988539289405,0.82432564,,0.867376064006022,21.636667,8.831131252476181,21.82583915,0.8786182011436146,0.000235256711479,2.4617588471196177,1.0,1.0
Senecio spec,"Senecio doronicum, Senecio vernalis",Senecio,Asteraceae,152.0,288.0,136.0,,0.55,,,,,3.8369953697876245,18.91633889375,1.681775897247709,0.1267187496832031,7.0,1.0,0.0
Sanguisorba minor,Sanguisorba minor,Sanguisorba,Rosaceae,121.0,243.0,122.0,504.0,1.379316925889128e-06,1.375,,0.000605,,4.007496471236612,21.518011945,1.2781857673331882,3.257741738861197e-07,0.05,1.0,1.0
Calystegia spec,"Calystegia, Calystegia sepium",Calystegia,Convolvulaceae,182.0,272.0,90.0,16.6683333335,0.009977,0.664621677,,2.03265750018465,0.91,0.0,26.4566786,0.664621677,1004330.930471429,7.0,1.0,1.0
Anchusa officinalis,Anchusa officinalis,Anchusa,Boraginaceae,121.0,243.0,122.0,22456.0,0.001333725069151852,2.52264095822378,55.0,1.16,,5.03246189869959,30.2597411333333,2.8267144307187064,0.0003612421477489,3.0559522908366565,1.0,1.0
Cucumus sativus,Cucumus sativus,Cucumus,Cucurbitaceae,,,,,0.0042493294027036,1.375,,2.0,,4.0,38.6,1.375,0.0010769394178053,7.0,0.9999999999999828,1.0
Prunella vulgaris,Prunella vulgaris,Prunella,Lamiaceae,152.0,273.0,121.0,775.9064772725,0.0008051092899397477,0.662448006,,0.172537295569698,0.136629801742457,5.675794351255778,25.8046333,0.6221775334815008,7.328226205676516e-05,1.6005774342512011,1.0,1.0
,,,,,,,,0.0195006130832695,,,,,4.0,,1.5073295107335591,,7.0,,
Raphanus spec,"Raphanus raphanistrum, Raphanus sativus, Raphanus spp",Raphanus,Brassicaceae,152.0,243.0,91.0,839.885,0.00017048489215330462,2.49970785860356,54.5,0.129763168766666,0.60736020533039,7.256422079789825,24.4562121181818,2.2138699677791256,2.066207311157399e-05,0.26929481191492477,1.0,1.0
Chaerophyllum spec,"Chaerophyllum aureum, Chaerophyllum bulbosum, Chaerophyllum temulum",Chaerophyllum,Apiaceae,142.0,222.0,80.0,,0.5258453678562768,,69.5,,,0.0,25.0179055883978,1.4532265070878148,50687499.99999999,7.0,1.0,0.0
Silene vulgaris,Silene vulgaris,Silene,Caryophyllaceae,152.0,212.0,60.0,316.0,0.000518954471940828,1.375,,0.25147,,3.7344785728646896,25.0179055883978,1.6645381621137274,0.0001354089776977,1.5842494689076516,1.0,1.0
Trifolium incarnatum,Trifolium incarnatum,Trifolium,Fabaceae,152.0,243.0,91.0,2293.73376623377,0.0053470004443786,1.87478089395267,40.875,3.542,1.95722167392162,4.0,26.3727967,1.87478089395267,0.0013618112433728,7.0,0.9999998384664396,1.0
Salix spec,"Salix, Salix caprea, Salix cinerea, Salix daphnoides, Salix mean",Salix,Salicaceae,60.0,120.0,60.0,1147.20149750416,0.002606667,1.134482423,63.625,2.67153084257763,10.303333,0.0,31.5391666666667,1.134482423,263623.91789411416,7.0,1.0,1.0
Solidago spec,"Solidago serotina, Solidago spp",Solidago,Asteraceae,213.0,234.0,21.0,,0.5148342561456389,,38.0,,,1.2351275074353585,18.91633889375,1.599651108696601,0.4921116457076539,7.0,1.0,0.0
Glebionis segetum,Glebionis segetum,Glebionis,Asteraceae,182.0,304.0,122.0,,0.0018679234602089242,1.375,,0.92801488055,1.43285907985965,3.9422926378460006,18.91633889375,1.1641546919102383,0.0004997079025871,5.375163340055733,1.0,1.0
Ranunculus spec,"Ranuculus spp, Ranunculus, Ranunculus acris, Ranunculus bulbosos, Ranunculus bulbosus, Ranunculus flammula, Ranunculus lingua, Ranunculus repens",Ranuculus,Ranunculaceae,116.0,273.0,157.0,192.413467742,0.00023332372121835136,0.715746421,33.54375,0.0953673717914311,1.71041595806186,2.3159832960219466,15.03,0.6991558324405407,8.023362219941691e-05,1.1376380048654522,1.0,1.0
Chaerophyllum spec,"Chaerophyllum aureum, Chaerophyllum bulbosum, Chaerophyllum temulum",Chaerophyllum,Apiaceae,142.0,222.0,80.0,,0.5,,69.5,,,0.0,25.0179055883978,1.375,50687499.99999999,7.0,1.0,0.0
Prunus domestica,Prunus domestica,Prunus,Rosaceae,91.0,151.0,60.0,153.0,0.002005189903279,1.23838737949167,27.0,0.85,0.9,4.0,24.25,1.23838737949167,0.0005075054792252,5.691090973092596,1.0,1.0
Matricaria spec,"Matricaria chamomilla, Matricaria discoidea, Matricaria recutita",Matricaria,Asteraceae,152.0,233.0,81.0,1257.15193523546,0.00014551009817533858,1.375,,0.062666,0.153582850042559,4.638310919640615,18.91633889375,1.3050279376989218,3.374374277809185e-05,0.356384714476892,1.0,1.0
Heracleum spec,"Heracleum sphondylium, Heraculum spp",Heracleum,Apiaceae,152.0,273.0,121.0,703.71915473756,0.003463032308942282,1.375,38.525,1.4401539,,0.0,25.0179055883978,1.3647027808590853,310191.7012986956,7.0,1.0,1.0
Fagopyrum esculentum,Fagopyrum esculentum,Fagopyrum,Polygonaceae,182.0,304.0,122.0,8529.5,0.00013210509153355443,1.76584867075665,38.5,0.1,0.0947551264921216,4.232621884757209,25.0179055883978,1.8771470925354796,3.177402535790396e-05,0.35656741242724893,1.0,1.0
Heracleum spec,"Heracleum sphondylium, Heraculum spp",Heracleum,Apiaceae,152.0,273.0,121.0,703.71915473756,0.002605669290809432,1.375,38.525,1.4401539,,0.0,25.0179055883978,0.9352654545991674,310191.7012986956,7.0,1.0,1.0
Euphorbia spec,"Euphorbia amygdaloides, Euphorbia exigua, Euphorbia helioscopia, Euphorbia platyphyllos",Euphorbia,Euphorbiaceae,162.0,273.0,111.0,,0.5,1.921328671,42.0,,,0.0,25.0179055883978,1.921328671,50960664.3355,7.0,1.0,0.0
Glycine max,Glycine max,Glycine,Fabaceae,,,,,5.169371225509522e-05,1.88051416885773,41.0,0.035,,3.368260893577631,26.3727967,1.8632159736736682,1.3848912486389136e-05,0.17530898392733724,1.0,1.0
Caltha palustris,"Caltha palustria, Caltha palustris",Caltha,Ranunculaceae,91.0,181.0,90.0,125.28,8.43466512256321e-06,1.51358457493427,33.0,0.00437,,0.0,15.03,1.51358457493427,856.2330912805687,7.0,1.0,1.0
Beta vulgaris,Beta vulgaris,Beta,Brassicaceae,182.0,273.0,91.0,,0.5,,,,,4.0,24.4562121181818,1.375,0.1267187496832031,7.0,1.0,0.0
Limum spec,"Linum grandiflorum, Linum usitatissimum",Linum,Linaceae,152.0,212.0,60.0,,0.0014130478557841802,1.61678352322524,35.25,0.42010686258,1.17473351927534,3.1197728527654056,25.0179055883978,1.190503578007649,0.0003641219033762,5.139589628222221,1.0,1.0
Geum spec,"Geum rivale, Geum urbanum",Geum,Rosaceae,122.0,228.0,106.0,284.185,6.33150081002842e-05,1.375,53.0,0.0298,,4.0,21.518011945,1.375,1.6046397325299782e-05,0.1799419133525042,1.0,1.0
Solanum nigrum,Solanum nigrum,Solanum,Solanaceae,182.0,273.0,91.0,186.95,0.0,0.0,,0.0,,3.3337415893513134,44.61,0.0,0.0,0.05,1.0,1.0
,,,,,,,,0.0006416515531090418,,,,,4.0,,1.375,,1.823580405915303,,
Cucumus sativus,Cucumus sativus,Cucumus,Cucurbitaceae,,,,,0.004985724613352433,1.375,,2.0,,2.62522629484114,38.6,1.5005570536462907,0.0010769394178053,7.0,0.9999999999999828,1.0
Leucanthemum spec,"Leucanthemum ircutianum, Leucanthemum vulgare",Leucanthemum,Asteraceae,152.0,304.0,152.0,492.298224852071,0.0021577786402178305,1.375,,0.9817900592,3.91736638056449,4.224631871023758,28.0,1.526714012813352,0.0005286642073809,5.815045808654832,1.0,1.0
Vicia spec annuales,"Vicia angustifolia, Vicia hirsuta, Vicia pannonica, Vicia parviflora, Vicia sativa, Vicia tetrasperma, Vicia villosa",Vicia,Fabaceae,139.0,225.0,86.0,0.131818182,0.0011759917316031738,0.815340079,,0.445118640671233,0.193714889005261,8.54561529481464,42.8,0.646892980693013,0.000123918903344,1.5531596339332219,1.0,1.0
Lythrum spec,"Lythrum, Lythrum salicaria",Lythrum,Lythraceae,182.0,274.0,92.0,1678.19,0.0004248601799845,2.61437335670464,57.0,0.28543,,4.0,25.0179055883978,2.61437335670464,0.0001089919025608,1.222218987174437,1.0,1.0
Sambucus spec,"Sambucus, Sambucus nigra",Sambucus,Adoxaceae,152.0,181.0,29.0,20.1502224199288,0.004552111755419607,1.375,,2.070408,,0.0,25.0179055883978,1.3990664481352753,445940.79834276,7.0,1.0,1.0
Hedera helix,Hedera helix,Hedera,Araliaceae,213.0,334.0,121.0,87.8172185430464,0.03686524263301971,0.665059888986269,14.5,9.208282,,4.72351217253294,25.5,0.6965443232839644,0.0101795767261947,7.0,1.0,1.0
Lupinus spec,"Lupinus angustifolius, Lupinus luteus, Lupinus sp",Lupinus,Fabaceae,152.0,273.0,121.0,,0.5,,,,,4.0,31.6,1.375,0.1267187496832031,7.0,1.0,0.0
Calluna spec,"Calluna, Calluna vulgaris",Calluna,Ericaceae,213.0,304.0,91.0,5815.06,0.0013560715019519,1.4218521764534,31.0,0.42794,,4.0,13.9,1.4218521764534,0.0003438382076695,3.855750528762535,1.0,1.0
Phacelia tanacetifolia,"Phacelia tacetifolia, Phacelia tanacetifolia",Phacelia,Boraginaceae,152.0,304.0,152.0,4000.0,0.001269128665087129,1.375,32.5,0.5878191418,0.53000869150504,3.038644275364645,58.9,1.6450948287524838,0.0003165228021724,4.760658272884406,1.0,1.0
Iris pseudacorus,Iris pseudacorus,Iris,Iridaceae,121.0,334.0,213.0,12.1,0.00842097102208866,1.375,,3.41253,,4.199842223570953,25.0179055883978,1.2005824119917348,0.0018375440357216,7.0,0.9999999999999772,1.0
Malva spec,"Malva alcea, Malva mauritiana, Malva moschata, Malva sp, Malva sylvestris, Malva verticillata",Malva,Malvaceae,160.0,296.0,136.0,8282.0,0.002260205118380413,2.06397896581946,45.0,1.08288022793333,4.34644419388959,4.209265536427777,37.1,2.023379200224077,0.0005453524694022,6.143219399984249,1.0,1.0
Allium schoenoprasum,"Allium schoenoprasum, Allium sp",Allium,Amaryllidaceae,152.0,212.0,60.0,576.0,0.0138786456587328,2.54236342389717,55.43,8.20456,,11.0,25.0179055883978,2.54236342389717,0.0012937719324322,7.0,0.9995465096913144,1.0
Ranunculus sceleratus,Ranunculus sceleratus,Ranunculus,Ranunculaceae,152.0,304.0,152.0,,0.5,,,,,4.0,15.03,1.375,0.1267187496832031,7.0,1.0,0.0
Cyanus segetum,Centaurea cyanus,Centaurea,Asteraceae,152.0,304.0,152.0,,0.0013269610808769,1.97224656733859,43.0,21.4151085539,4.21759572411648,4.0,26.2,1.97224656733859,0.0003382830054653,3.7934553173568366,1.0,1.0
Stachys spec,"Stachys germanica, Stachys officinalis, Stachys palustris, Stachys recta, Stachys sylvatica",Stachys,Lamiaceae,162.0,273.0,111.0,563.735,0.001665852163247777,1.044243191,54.0,0.31111,0.8,6.781014386251847,14.5433167,0.8364817063862714,0.0002192484930641,2.777885030986786,1.0,1.0
Salvia spec,"Salvia fruticosa, Salvia hierosolymitana, Salvia judaica, Salvia pratensis, Salvia sp, Salvia ssp",Salvia,Lamiaceae,121.0,228.0,107.0,,0.002305248287621875,1.63558866491382,35.66,1.25,,4.538689245046329,18.7046642833333,1.466704579605197,0.0005323687793895,5.779171822542025,1.0,1.0
Berteroa spec,"Berteroa incana, Berteroa inonana",Berteroa,Brassicaceae,152.0,304.0,152.0,,0.5,,70.33,,,0.65,24.4562121181818,1.375,0.779807680310651,7.0,1.0,0.0
Daucus carota,Daucus carota,Daucus,Apiaceae,152.0,243.0,91.0,1646.59211732356,0.0012005200945438,1.375,,0.56503978899825,0.396171490328399,4.0,25.0179055883978,1.375,0.0003042568107003,3.411890629283058,1.0,1.0
Iris pseudacorus,Iris pseudacorus,Iris,Iridaceae,121.0,334.0,213.0,12.1,0.007341817446654645,1.375,,3.41253,,4.498619114600785,25.0179055883978,1.231964353556967,0.0018375440357216,7.0,0.9999999999999772,1.0
Vicia spec perennes,"Vicia cassubica, Vicia cracca, Vicia grandiflora, Vicia nigricans, Vicia sepium, Vicia sp, Vicia tenuifolia",Vicia,Fabaceae,140.0,206.0,66.0,221.10416666675,0.0020045532996083187,1.375,29.5,0.157638159683334,0.308991306727076,6.933678982567067,23.774583325,1.3557571535089674,0.000236601646527,3.2859208022099735,1.0,1.0
Ajuga spec,"Ajuga, Ajuga reptans, Ajuga spp",Ajuga,Lamiaceae,121.0,232.0,111.0,4779.2543229165,0.000809667,0.824737635,53.0,0.191817611215708,0.65,10.0,7.2103857,0.824737635,8.163446276508307e-05,0.9154367256189312,1.0,1.0
Bellis perennis,Bellis perennis,Bellis,Asteraceae,1.0,365.0,364.0,303.703578947368,0.00010395809944841104,1.375,,0.0581645740266667,0.166767526113049,4.888873328595384,18.91633889375,1.349216887496587,3.131986124458147e-05,0.24167110917694642,1.0,1.0
Lathyrus spec,"Lathyrus latifolius, Lathyrus pratensis, Lathyrus sp, Lathyrus tuberosus",Lathyrus,Fabaceae,142.0,253.0,111.0,409.835,0.002544368400239162,1.375,67.0,1.170255,0.07,4.0318932085467205,26.3727967,1.4475497592323356,0.0006301468691918,7.0,0.9999999999999838,1.0
Fallopia japonica,Fallopia japonica,Fallopia,Polygonaceae,213.0,273.0,60.0,5585.41,0.0001214245876822,1.375,,0.05715,,4.0,25.0179055883978,1.375,3.07735438637737e-05,0.3450899445668066,1.0,1.0
Ficaria verna,Ranunculus ficaria,Ranunculus,Ranunculaceae,60.0,151.0,91.0,96.57,2.4236372072104917e-05,1.375,,0.0132,1.9,4.779536978671639,15.03,1.2970039732293759,7.107800157515338e-06,0.05760141832425474,1.0,1.0
,,,,,,,,0.00022391682074191337,,,,,2.6356877618620747,,1.2939317688452547,,0.9650081447398604,,
Potentilla spec,"Potentilla anserina, Potentilla erecta, Potentilla fruticosa, Potentilla reptans",Potentilla,Rosaceae,152.0,263.0,111.0,257.1,4.93984543064298e-05,1.375,24.0,0.02325,,2.66,17.24,1.375,1.8826196565744827e-05,0.211114168652008,1.0,1.0
Chaerophyllum spec,"Chaerophyllum aureum, Chaerophyllum bulbosum, Chaerophyllum temulum",Chaerophyllum,Apiaceae,142.0,222.0,80.0,,0.4453034797719754,,69.5,,,0.0,25.0179055883978,1.2895149301713542,50687499.99999999,7.0,1.0,0.0
Papaver spec,"Papaver dubium, Papaver rhoeas, Papaver sp",Papaver,Papaveraceae,121.0,212.0,91.0,53.87,4.3333986093608126e-06,1.375,,0.002959960625,8.93335009715145,3.7247948290364,23.285,1.1445395266958933,1.5938491361071349e-06,0.05,1.0,1.0
Centaurea spec,"Centaurea, Centaurea jacea, Centaurea montana, Centaurea nigra, Centaurea scabiosa, Centaurea soltitialis",Centaurea,Asteraceae,163.0,296.0,133.0,27.3990146316146,0.0324446666808209,0.6703833545,55.35,8.00119014420227,10.9115454011161,5.53333333333333,22.366147025,0.6703833545,0.0059028018554176,7.0,1.0,1.0
Prunus spinosa,Prunus spinosa,Prunus,Rosaceae,60.0,151.0,91.0,664.5858333335,9.930125703509662e-05,0.779652352,,0.26623,0.0333,0.0,27.2,0.6952676893065737,10007.4194785536,7.0,1.0,1.0
Ulex spec,"Ulex europaeus, Ulex gallii",Ulex,Fabaceae,121.0,181.0,60.0,602.345,1.7627919395321864e-05,1.375,,0.00665,,3.89228847203044,26.3727967,1.730506054911555,3.580823564202805e-06,0.05166566602997147,1.0,1.0
Camelina sativa,Camelina sativa,Camelina,Brassicaceae,121.0,243.0,122.0,,0.5,,,,,4.0,24.4562121181818,1.375,0.1267187496832031,7.0,1.0,0.0
Althaea officinalis,Althaea officinalis,Althaea,Malvaceae,182.0,273.0,91.0,,0.0038216560509554,2.01811276657902,44.0,2.64,,4.0,37.1,2.01811276657902,0.0009746953424668,7.0,0.9999953353745592,1.0
Solanum dulcamara,Solanum dulcamara,Solanum,Solanaceae,152.0,273.0,121.0,127.2,4.660634264218894e-06,1.375,,0.00194,,4.407348137843137,44.61,1.4211165819347782,1.0446312352711944e-06,0.05,1.0,1.0
